"Data Import Template"
"Table:","Workspace Sidebar"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Workspace Sidebar","","","","","","","","~","Workspace Sidebar Item","items","","","","","","","","","","","","","","","",""
"Column Labels:","ID","Created On","Created By","Title","Header Icon","For User","Standard","App","","ID","Created On","Created By","Label","Link Type","Icon","Type","Link To","Child Item","Tab","URL","Collapsible","Indent","Keep Closed","Show Arrow","Display Depends On (JS)","Filters","Route Options"
"Column Name:","name","creation","owner","title","header_icon","for_user","standard","app","~","name","creation","owner","label","link_type","icon","type","link_to","child","navigate_to_tab","url","collapsible","indent","keep_closed","show_arrow","display_depends_on","filters","route_options"
"Mandatory:","Yes","No","No","No","No","No","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data","Datetime","Link","Data","Icon","Link","Check","Autocomplete","","Data","Datetime","Link","Data","Select","Icon","Select","Dynamic Link","Check","Autocomplete","Data","Check","Check","Check","Check","Code","Code","Code"
"Info:","","dd-mm-yyyy","Valid User","","","Valid User","0 or 1","","","","dd-mm-yyyy","Valid User","","One of: DocType, Page, Report, Workspace, Dashboard, URL","","One of: Link, Section Break, Spacer, Sidebar Item Group","","0 or 1","","","0 or 1","0 or 1","0 or 1","0 or 1","","",""
"Start entering data below this line"
"","","","","","","","","","","""njtqftit0j""","2025-10-26 21:53:46.546717","Administrator","Asset","DocType","laptop","Link","Asset",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njto168tdb""","2025-10-26 21:53:46.546717","Administrator","Depreciation Schedule","DocType","trending-down","Link","Asset Depreciation Schedule",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njtapdkvmu""","2025-10-26 21:53:46.546717","Administrator","Asset Capitalization","DocType","sprout","Link","Asset Capitalization",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njtqaflqrp""","2025-10-26 21:53:46.546717","Administrator","Asset Movement","DocType","move-horizontal","Link","Asset Movement",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njt9dq8f4c""","2025-10-26 21:53:46.546717","Administrator","Maintenance","DocType","getting-started","Section Break","",0,"","",1,1,1,0,"","",""
"","","","","","","","","","","""njto8f6cue""","2025-10-26 21:53:46.546717","Administrator","Asset Maintenance Team","DocType","","Link","Asset Maintenance Team",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njtkftnkpo""","2025-10-26 21:53:46.546717","Administrator","Asset Maintenance","DocType","","Link","Asset Maintenance",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njtf4ailf8""","2025-10-26 21:53:46.546717","Administrator","Asset Maintenance Log","DocType","","Link","Asset Maintenance Log",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njtpvca2dh""","2025-10-26 21:53:46.546717","Administrator","Asset Value Adjustment","DocType","","Link","Asset Value Adjustment",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njt88nhl0h""","2025-10-26 21:53:46.546717","Administrator","Asset Repair","DocType","","Link","Asset Repair",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njtnug2spa""","2025-10-26 21:53:46.546717","Administrator","Reports","DocType","sheet","Section Break","",0,"","",1,1,1,0,"","",""
"","","","","","","","","","","""njtptnlvn8""","2025-10-26 21:53:46.546717","Administrator","Fixed Asset Register","Report","","Link","Fixed Asset Register",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njthqhnjge""","2025-10-26 21:53:46.546717","Administrator","Asset Depreciation Ledger","Report","","Link","Asset Depreciation Ledger",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njt67vestq""","2025-10-26 21:53:46.546717","Administrator","Asset Depreciations and Balances","Report","","Link","Asset Depreciations and Balances",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njtcde6rmo""","2025-10-26 21:53:46.546717","Administrator","Asset Maintenance","Report","","Link","Asset Maintenance",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njth87c519""","2025-10-26 21:53:46.546717","Administrator","Asset Activity","Report","","Link","Asset Activity",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njt6llb0e9""","2025-10-26 21:53:46.546717","Administrator","Setup","DocType","database","Section Break","",0,"","",1,1,1,0,"","",""
"","","","","","","","","","","""njtihn7qb9""","2025-10-26 21:53:46.546717","Administrator","Asset Category","DocType","","Link","Asset Category",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njt2bfaspc""","2025-10-26 21:53:46.546717","Administrator","Location","DocType","","Link","Location",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njtrho7qko""","2025-10-26 21:53:46.546717","Administrator","Settings","DocType","settings","Link","Accounts Settings",0,"assets_tab","",1,0,0,0,"","",""
"","""Automation""","2025-11-05 23:59:53.675353","Administrator","Automation","repeat","",1,"frappe","","""n83pr2gqvn""","2025-11-05 23:59:53.675353","Administrator","Assignment Rule","DocType","user-cog","Link","Assignment Rule",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""n83j1hk642""","2025-11-05 23:59:53.675353","Administrator","Milestone","DocType","flag","Link","Milestone",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""n83igojn3s""","2025-11-05 23:59:53.675353","Administrator","Auto Repeat","DocType","repeat-2","Link","Auto Repeat",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""n839ddeh8q""","2025-11-05 23:59:53.675353","Administrator","Auto Email Report","DocType","calendar-sync","Link","Auto Email Report",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""n830lev806""","2025-11-05 23:59:53.675353","Administrator","Reminder","DocType","bell-ring","Link","Reminder",0,"","",1,0,0,0,"","",""
"","""Banking""","2025-11-12 14:55:28.092635","Administrator","Banking","circle-dollar-sign","",1,"erpnext","","""njsq3qea43""","2025-11-12 14:55:28.092635","Administrator","Bank Clearance","DocType","book-open-check","Link","Bank Clearance",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njs6sh3dvl""","2025-11-12 14:55:28.092635","Administrator","Bank Reconciliation","DocType","tool","Link","Bank Reconciliation Tool",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njsnc59ohs""","2025-11-12 14:55:28.092635","Administrator","Reconciliation Statement","Report","clipboard-check","Link","Bank Reconciliation Statement",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njsene4jpn""","2025-11-12 14:55:28.092635","Administrator","Unreconcile Payment","DocType","split","Link","Unreconcile Payment",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njsmigb4im""","2025-11-12 14:55:28.092635","Administrator","Process Payment Reconciliation","DocType","link","Link","Process Payment Reconciliation",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njst1el69v""","2025-11-12 14:55:28.092635","Administrator","Setup","DocType","database","Section Break","",0,"","",1,1,1,0,"","",""
"","","","","","","","","","","""njsqrgscej""","2025-11-12 14:55:28.092635","Administrator","Bank","DocType","","Link","Bank",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njsgrjlv3r""","2025-11-12 14:55:28.092635","Administrator","Bank Account","DocType","","Link","Bank Account",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njs959jcjf""","2025-11-12 14:55:28.092635","Administrator","Bank Account Type","DocType","","Link","Bank Account Type",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njsku9p2mq""","2025-11-12 14:55:28.092635","Administrator","Bank Account Subtype","DocType","","Link","Bank Account Subtype",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njsrequ6at""","2025-11-12 14:55:28.092635","Administrator","Bank Guarantee","DocType","","Link","Bank Guarantee",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njsca1o8dv""","2025-11-12 14:55:28.092635","Administrator","Plaid Settings","DocType","","Link","Plaid Settings",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njs4hl287s""","2025-11-12 14:55:28.092635","Administrator","Dunning","DocType","scroll-text","Section Break","",0,"","",1,1,1,0,"","",""
"","","","","","","","","","","""njs8q7mbks""","2025-11-12 14:55:28.092635","Administrator","Dunning","DocType","","Link","Dunning",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njs8a57h6r""","2025-11-12 14:55:28.092635","Administrator","Dunning Type","DocType","","Link","Dunning Type",1,"","",1,0,0,0,"","",""
"","""Budget""","2025-11-10 16:53:45.409587","Administrator","Budget","accounting","",1,"erpnext","","""njujpul624""","2025-11-10 16:53:45.409587","Administrator","Budget","DocType","briefcase-business","Link","Budget",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""nju5bqdg45""","2025-11-10 16:53:45.409587","Administrator","Cost Center","DocType","badge-cent","Link","Cost Center",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njube0tuea""","2025-11-10 16:53:45.409587","Administrator","Accounting Dimension","DocType","accounting","Link","Accounting Dimension",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njukb8ivbl""","2025-11-10 16:53:45.409587","Administrator","Cost Center Allocation","DocType","notepad-text","Link","Cost Center Allocation",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njubse7v16""","2025-11-10 16:53:45.409587","Administrator","Budget Variance","Report","sheet","Link","Budget Variance Report",0,"","",1,0,0,0,"","",""
"","""Build""","2025-10-26 21:53:46.555414","Administrator","Build","hammer","",1,"frappe","","""n834nit05f""","2025-10-26 21:53:46.555414","Administrator","DocType","DocType","database","Link","DocType",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""n83tp67jr3""","2025-10-26 21:53:46.555414","Administrator","Page","DocType","tv-minimal","Link","Page",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""n83ptdu3tq""","2025-10-26 21:53:46.555414","Administrator","Report","DocType","table","Link","Report",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""n83ngguhar""","2025-10-26 21:53:46.555414","Administrator","Workspace","DocType","wallpaper","Link","Workspace",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""n83qf9h14v""","2025-10-26 21:53:46.555414","Administrator","Dashboard","DocType","layout-dashboard","Link","Dashboard",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""n83775vees""","2025-10-26 21:53:46.555414","Administrator","Module Def","DocType","","Link","Module Def",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""n83ic669ck""","2025-10-26 21:53:46.555414","Administrator","Customization","DocType","settings","Section Break","",0,"","",1,1,1,0,"","",""
"","","","","","","","","","","""n8338tvr62""","2025-10-26 21:53:46.555414","Administrator","Workflow","DocType","","Link","Workflow",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""n835e3jab9""","2025-10-26 21:53:46.555414","Administrator","Server Script","DocType","","Link","Server Script",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""n838pn783s""","2025-10-26 21:53:46.555414","Administrator","Client Script","DocType","","Link","Client Script",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""n83b2jpuv1""","2025-10-26 21:53:46.555414","Administrator","Customize Form","DocType","","Link","Customize Form",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""n83v9fksp3""","2025-10-26 21:53:46.555414","Administrator","Custom Field","DocType","","Link","Custom Field",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""n832jne568""","2025-10-26 21:53:46.555414","Administrator","Property Setter","DocType","","Link","Property Setter",0,"","",1,0,0,0,"","",""
"","""Buying""","2025-11-17 13:19:04.735352","Administrator","Buying","buying","",1,"erpnext","","""njtevpjmbf""","2025-11-17 13:19:04.735352","Administrator","Home","Workspace","home","Link","Buying",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njtc1g1n56""","2025-11-17 13:19:04.735352","Administrator","Dashboard","Dashboard","chart","Link","Buying",0,"","",1,0,0,0,"","",""
