parent,role,permlevel,read,write,create,delete,submit,cancel,amend,report,export,import,share,print,email,if_owner,modified
Asset Capitalization,Quality Manager,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:31.837986
Asset Category,Accounts Manager,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,2026-02-13 14:08:33.240058
Asset Category,Quality Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:33.240058
Asset Category,Accounts User,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,2026-02-13 14:08:33.240058
Asset Depreciation Schedule,Quality Manager,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,2026-02-13 14:08:32.254845
Asset Depreciation Schedule,Accounts User,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:32.254845
Asset Maintenance,Quality Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:32.723800
Asset Maintenance,Manufacturing User,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:32.723800
Asset Maintenance Log,Manufacturing User,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:31.738454
Asset Maintenance Team,Manufacturing User,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:31.792571
Asset Movement,System Manager,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:32.142656
Asset Movement,Stock Manager,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:32.142656
Asset Movement,Accounts Manager,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:32.142656
Asset Repair,Quality Manager,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2026-02-13 14:08:32.369605
Asset Repair,Manufacturing Manager,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2026-02-13 14:08:32.369605
Asset Shift Allocation,Accounts User,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:32.670383
Asset Shift Allocation,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:32.670383
Asset Shift Factor,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:32.785171
Asset Shift Factor,Accounts User,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:32.785171
Asset Value Adjustment,System Manager,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:33.049395
Asset Value Adjustment,Accounts Manager,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:33.049395
Asset Value Adjustment,Accounts User,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:33.049395
Assignment Rule,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:58.419385
Audit Trail,System Manager,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:07:48.576484
Authorization Rule,System Manager,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:08:21.755298
Auto Email Report,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:52.845868
Auto Email Report,Report Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:52.845868
Auto Repeat,Accounts User,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:58.252098
Auto Repeat,Accounts Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:58.252098
Auto Repeat,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:58.252098
Bank,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:10.053141
Bank Account,Accounts Manager,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,2026-02-13 14:08:02.251411
Bank Account,Accounts User,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:02.251411
Bank Account Subtype,Accounts Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:04.401590
Bank Account Subtype,Accounts User,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:04.401590
Bank Account Subtype,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:04.401590
Bank Account Type,Accounts User,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:04.130588
Bank Account Type,Accounts Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:04.130588
Bank Account Type,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:04.130588
Bank Clearance,Accounts User,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2026-02-13 14:08:11.002811
Bank Guarantee,Accounts User,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:02.838006
Bank Guarantee,Accounts Manager,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,2026-02-13 14:08:02.838006
Bank Reconciliation Tool,System Manager,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:08:03.402102
Bank Statement Import,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:05.470389
Bank Transaction,System Manager,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,2026-02-13 14:08:02.772382
Bank Transaction,Accounts Manager,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,2026-02-13 14:08:02.772382
