name,doc_type,field_name,property,property_type,value,default_value,modified
Delivery Note-rounded_total-hidden,Delivery Note,rounded_total,hidden,Check,0,,2026-02-13 11:48:36.233841
Delivery Note-base_rounded_total-print_hide,Delivery Note,base_rounded_total,print_hide,Check,1,,2026-02-13 11:48:36.222444
Delivery Note-base_rounded_total-hidden,Delivery Note,base_rounded_total,hidden,Check,0,,2026-02-13 11:48:36.211717
Sales Invoice-disable_rounded_total-default,Sales Invoice,disable_rounded_total,default,Text,0,,2026-02-13 11:48:36.199815
Sales Invoice-rounded_total-print_hide,Sales Invoice,rounded_total,print_hide,Check,0,,2026-02-13 11:48:36.187615
Sales Invoice-rounded_total-hidden,Sales Invoice,rounded_total,hidden,Check,0,,2026-02-13 11:48:36.176434
Sales Invoice-base_rounded_total-print_hide,Sales Invoice,base_rounded_total,print_hide,Check,1,,2026-02-13 11:48:36.163777
Sales Invoice-base_rounded_total-hidden,Sales Invoice,base_rounded_total,hidden,Check,0,,2026-02-13 11:48:36.152682
Sales Order-disable_rounded_total-default,Sales Order,disable_rounded_total,default,Text,0,,2026-02-13 11:48:36.141335
Sales Order-rounded_total-print_hide,Sales Order,rounded_total,print_hide,Check,0,,2026-02-13 11:48:36.130680
Sales Order-rounded_total-hidden,Sales Order,rounded_total,hidden,Check,0,,2026-02-13 11:48:36.119618
Sales Order-base_rounded_total-print_hide,Sales Order,base_rounded_total,print_hide,Check,1,,2026-02-13 11:48:36.108569
Sales Order-base_rounded_total-hidden,Sales Order,base_rounded_total,hidden,Check,0,,2026-02-13 11:48:36.097897
Quotation-disable_rounded_total-default,Quotation,disable_rounded_total,default,Text,0,,2026-02-13 11:48:36.086799
Quotation-rounded_total-print_hide,Quotation,rounded_total,print_hide,Check,0,,2026-02-13 11:48:36.074459
Quotation-rounded_total-hidden,Quotation,rounded_total,hidden,Check,0,,2026-02-13 11:48:36.062904
Quotation-base_rounded_total-print_hide,Quotation,base_rounded_total,print_hide,Check,1,,2026-02-13 11:48:36.051644
Quotation-base_rounded_total-hidden,Quotation,base_rounded_total,hidden,Check,0,,2026-02-13 11:48:35.915911
Sales Invoice-additional_discount_account-mandatory_depends_on,Sales Invoice,additional_discount_account,mandatory_depends_on,Code,,,2026-02-13 11:48:35.802735
Sales Invoice-additional_discount_account-hidden,Sales Invoice,additional_discount_account,hidden,Check,1,,2026-02-13 11:48:35.789279
Sales Invoice Item-discount_account-mandatory_depends_on,Sales Invoice Item,discount_account,mandatory_depends_on,Code,,,2026-02-13 11:48:35.777245
Sales Invoice Item-discount_account-hidden,Sales Invoice Item,discount_account,hidden,Check,1,,2026-02-13 11:48:35.759077
Packed Item-rate-read_only,Packed Item,rate,read_only,Check,1,,2026-02-13 11:48:35.745425
Delivery Note-tax_id-print_hide,Delivery Note,tax_id,print_hide,Check,0,,2026-02-13 11:48:35.733643
Delivery Note-tax_id-hidden,Delivery Note,tax_id,hidden,Check,0,,2026-02-13 11:48:35.721895
Sales Invoice-tax_id-print_hide,Sales Invoice,tax_id,print_hide,Check,0,,2026-02-13 11:48:35.709192
Sales Invoice-tax_id-hidden,Sales Invoice,tax_id,hidden,Check,0,,2026-02-13 11:48:35.697884
Sales Order-tax_id-print_hide,Sales Order,tax_id,print_hide,Check,0,,2026-02-13 11:48:35.682286
Sales Order-tax_id-hidden,Sales Order,tax_id,hidden,Check,0,,2026-02-13 11:48:35.670087
Customer-naming_series-hidden,Customer,naming_series,hidden,Check,1,,2026-02-13 11:48:35.651681
Customer-naming_series-reqd,Customer,naming_series,reqd,Check,0,,2026-02-13 11:48:35.500728
Supplier-naming_series-hidden,Supplier,naming_series,hidden,Check,1,,2026-02-13 11:48:35.340876
Supplier-naming_series-reqd,Supplier,naming_series,reqd,Check,0,,2026-02-13 11:48:35.202471
