name,module,custom,issingle,istable,is_submittable,autoname,naming_rule,title_field,search_fields,sort_field,sort_order,quick_entry,allow_rename,allow_copy,allow_import,allow_guest_to_view,restrict_to_domain,editable_grid,track_changes,read_only,in_create,is_tree,show_name_in_global_search,beta,modified
Sales Invoice Item,Accounts,0,0,1,0,hash,Random,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2025-09-04 11:08:25.583561
Sales Invoice Payment,Accounts,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:10:36.427565
Sales Invoice Reference,Accounts,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2025-03-20 01:14:57.890299
Sales Invoice Timesheet,Accounts,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-12-23 13:54:17.677187
Sales Order,Selling,0,0,0,1,naming_series:,"By ""Naming Series"" field",customer_name,"status,transaction_date,customer,customer_name, territory,order_type,company",creation,DESC,0,0,0,1,0,,1,1,0,0,0,1,0,2026-02-06 11:06:16.092658
Sales Order Item,Selling,0,0,1,0,hash,Random,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-10-13 10:57:43.378448
Sales Partner,Setup,0,0,0,0,field:partner_name,,,,creation,ASC,0,1,0,1,0,,0,0,0,0,0,1,0,2024-03-27 13:10:37.455664
Sales Partner Item,Accounts,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:37.651093
Sales Partner Type,Selling,0,0,0,0,field:sales_partner_type,By fieldname,,,creation,DESC,1,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:10:37.773308
Sales Person,Setup,0,0,0,0,field:sales_person_name,By fieldname,,parent_sales_person,creation,ASC,0,1,0,1,0,,0,0,0,0,1,1,0,2024-03-27 13:10:37.891377
Sales Stage,CRM,0,0,0,0,field:stage_name,By fieldname,,,creation,DESC,1,1,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:38.067960
Sales Taxes and Charges,Accounts,0,0,1,0,,,,,creation,ASC,0,0,0,0,0,,1,0,0,0,0,0,0,2025-07-24 15:08:34.381704
Sales Taxes and Charges Template,Accounts,0,0,0,0,,,title,,creation,ASC,0,1,0,1,0,,0,1,0,0,0,0,0,2024-03-27 13:10:38.343481
Sales Team,Selling,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:38.504580
Salutation,Contacts,0,0,0,0,field:salutation,,,,creation,DESC,0,1,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:03:37.726490
Scheduled Job Log,Core,0,0,0,0,,,scheduled_job_type,,creation,DESC,1,0,0,0,0,,1,0,0,0,0,0,0,2024-03-23 16:03:37.828186
Scheduled Job Type,Core,0,0,0,0,,,method,,creation,DESC,1,0,0,0,0,,1,1,0,1,0,0,0,2025-12-17 12:02:56.228336
Scheduler Event,Core,0,0,0,0,,,,,creation,DESC,0,1,0,0,0,,0,0,0,1,0,0,0,2025-01-14 10:49:21.304114
Selling Settings,Selling,0,1,0,0,,,,,creation,DESC,0,0,0,0,0,,0,1,0,0,0,0,0,2026-01-23 00:04:33.105916
Serial and Batch Bundle,Stock,0,0,0,1,hash,Random,item_code,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2025-09-24 16:24:48.154853
Serial and Batch Entry,Stock,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2026-01-11 11:05:10.789054
Serial No,Stock,0,0,0,0,field:serial_no,By fieldname,,item_code,creation,DESC,0,0,0,1,0,,0,1,0,0,0,1,0,2025-12-24 20:14:52.942251
Server Script,Core,0,0,0,0,Prompt,Set by user,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-09-02 11:11:07.528661
Service Day,Support,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:39.401960
Service Level Agreement,Support,0,0,0,0,format:SLA-{document_type}-{service_level},Expression,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:39.518860
Service Level Priority,Support,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:39.731977
Session Default,Core,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:03:38.225606
Session Default Settings,Core,0,1,0,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:03:38.318576
Share Balance,Accounts,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-12-10 08:06:40.611761
Share Transfer,Accounts,0,0,0,1,ACC-SHT-.YYYY.-.#####,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:40.003178
Share Type,Accounts,0,0,0,0,field:title,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:40.190914
Shareholder,Accounts,0,0,0,0,naming_series:,"By ""Naming Series"" field",title,folio_no,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:40.356171
Shipment,Stock,0,0,0,1,SHIPMENT-.#####,Expression,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2026-01-16 14:59:28.547953
Shipment Delivery Note,Stock,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:41.282195
Shipment Parcel,Stock,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:41.396354
Shipment Parcel Template,Stock,0,0,0,0,field:parcel_template_name,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:41.521126
Shipping Rule,Accounts,0,0,0,0,field:label,,,,creation,ASC,0,0,0,1,0,,0,0,0,0,0,0,0,2024-03-27 13:10:41.653314
Shipping Rule Condition,Accounts,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:10:41.848136
Shipping Rule Country,Accounts,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:10:41.965545
Sidebar Item Group,Desk,0,0,0,0,field:sidebar,By fieldname,,,creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2025-11-13 10:03:42.852599
Sidebar Item Group Link,Desk,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2025-11-13 10:03:51.263771
Site,YAM Agri Core,1,0,0,0,,,,,creation,DESC,0,0,0,0,0,,0,0,0,0,0,0,0,2026-02-22 16:14:17.067710
SLA Fulfilled On Status,Support,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:42.898951
