parent,parenttype,parentfield,idx,fieldname,label,fieldtype,options,reqd,unique,read_only,hidden,in_list_view,in_filter,in_global_search,in_standard_filter,permlevel,depends_on,mandatory_depends_on,read_only_depends_on,default,description,collapsible,length,precision,modified
Account,DocType,fields,10,account_currency,Currency,Link,Currency,0,0,0,0,0,0,0,0,0,eval:doc.is_group==0,,,,,0,0,,2026-02-13 14:08:08.619079
Account,DocType,fields,11,column_break1,,Column Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:08.619079
Account,DocType,fields,12,parent_account,Parent Account,Link,Account,1,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:08.619079
Account,DocType,fields,13,account_category,Account Category,Link,Account Category,0,0,0,0,0,0,0,0,0,,,,,Used with Financial Report Template,0,0,,2026-02-13 14:08:08.619079
Account,DocType,fields,14,account_type,Account Type,Select,"
Accumulated Depreciation
Asset Received But Not Billed
Bank
Cash
Chargeable
Capital Work in Progress
Cost of Goods Sold
Current Asset
Current Liability
Depreciation
Direct Expense
Direct Income
Equity
Expense Account
Expenses Included In Asset Valuation
Expenses Included In Valuation
Fixed Asset
Income Account
Indirect Expense
Indirect Income
Liability
Payable
Receivable
Round Off
Round Off for Opening
Stock
Stock Adjustment
Stock Received But Not Billed
Service Received But Not Billed
Tax
Temporary",0,0,0,0,0,0,0,1,0,,,,,Setting Account Type helps in selecting this Account in transactions.,0,0,,2026-02-13 14:08:08.619079
Account,DocType,fields,15,tax_rate,Tax Rate,Float,,0,0,0,0,0,0,0,0,0,,,,,Rate at which this tax is applied,0,0,,2026-02-13 14:08:08.619079
Account,DocType,fields,16,freeze_account,Frozen,Select,"No
Yes",0,0,0,0,0,0,0,0,0,,,,,"If the account is frozen, entries are allowed to restricted users.",0,0,,2026-02-13 14:08:08.619079
Account,DocType,fields,17,balance_must_be,Balance must be,Select,"
Debit
Credit",0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:08.619079
Account,DocType,fields,18,lft,Lft,Int,,0,0,1,1,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:08.619079
Account,DocType,fields,19,rgt,Rgt,Int,,0,0,1,1,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:08.619079
Account,DocType,fields,20,old_parent,Old Parent,Data,,0,0,1,1,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:08.619079
Account,DocType,fields,21,include_in_gross,Include in gross,Check,,0,0,0,0,0,0,0,0,0,eval:(doc.report_type == 'Profit and Loss' && !doc.is_group),,,0,,0,0,,2026-02-13 14:08:08.619079
Account Category,DocType,fields,1,account_category_name,Account Category Name,Data,,1,1,0,0,1,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:02.955952
Account Category,DocType,fields,2,description,Description,Small Text,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:02.955952
Account Closing Balance,DocType,fields,1,closing_date,Closing Date,Date,,0,0,0,0,1,1,0,0,0,,,,,,0,0,,2026-02-13 14:08:10.403305
Account Closing Balance,DocType,fields,2,account,Account,Link,Account,0,0,0,0,1,1,0,1,0,,,,,,0,0,,2026-02-13 14:08:10.403305
Account Closing Balance,DocType,fields,3,cost_center,Cost Center,Link,Cost Center,0,0,0,0,1,1,0,0,0,,,,,,0,0,,2026-02-13 14:08:10.403305
Account Closing Balance,DocType,fields,4,debit,Debit Amount,Currency,Company:company:default_currency,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:10.403305
Account Closing Balance,DocType,fields,5,credit,Credit Amount,Currency,Company:company:default_currency,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:10.403305
Account Closing Balance,DocType,fields,6,reporting_currency_exchange_rate,Reporting Currency Exchange Rate,Float,,0,0,0,0,0,0,0,0,0,,,,,,0,0,9,2026-02-13 14:08:10.403305
Account Closing Balance,DocType,fields,7,debit_in_reporting_currency,Debit Amount in Reporting Currency,Currency,Company:company:reporting_currency,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:10.403305
Account Closing Balance,DocType,fields,8,credit_in_reporting_currency,Credit Amount in Reporting Currency,Currency,Company:company:reporting_currency,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:10.403305
Account Closing Balance,DocType,fields,9,account_currency,Account Currency,Link,Currency,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:10.403305
Account Closing Balance,DocType,fields,10,debit_in_account_currency,Debit Amount in Account Currency,Currency,account_currency,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:10.403305
Account Closing Balance,DocType,fields,11,credit_in_account_currency,Credit Amount in Account Currency,Currency,account_currency,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:10.403305
Account Closing Balance,DocType,fields,12,project,Project,Link,Project,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:10.403305
Account Closing Balance,DocType,fields,13,company,Company,Link,Company,0,0,0,0,1,1,0,1,0,,,,,,0,0,,2026-02-13 14:08:10.403305
Account Closing Balance,DocType,fields,14,finance_book,Finance Book,Link,Finance Book,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:10.403305
Account Closing Balance,DocType,fields,15,period_closing_voucher,Period Closing Voucher,Link,Period Closing Voucher,0,0,0,0,0,0,0,1,0,,,,,,0,0,,2026-02-13 14:08:10.403305
Account Closing Balance,DocType,fields,16,is_period_closing_voucher_entry,Is Period Closing Voucher Entry,Check,,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,2026-02-13 14:08:10.403305
Accounting Dimension,DocType,fields,1,document_type,Reference Document Type,Link,DocType,1,0,0,0,0,0,0,0,0,,,eval:!doc.__islocal,,,0,0,,2026-02-13 14:08:08.283233
Accounting Dimension,DocType,fields,2,label,Dimension Name,Data,,0,1,0,0,1,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:08.283233
Accounting Dimension,DocType,fields,3,fieldname,Fieldname,Data,,0,0,0,1,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:08.283233
Accounting Dimension,DocType,fields,4,dimension_defaults,Dimension Defaults,Table,Accounting Dimension Detail,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:08.283233
Accounting Dimension,DocType,fields,5,disabled,Disable,Check,,0,0,1,1,0,0,0,0,0,,,,0,,0,0,,2026-02-13 14:08:08.283233
Accounting Dimension Detail,DocType,fields,1,company,Company,Link,Company,0,0,0,0,1,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:08.330854
Accounting Dimension Detail,DocType,fields,2,reference_document,Reference Document,Link,DocType,0,0,1,1,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:08.330854
Accounting Dimension Detail,DocType,fields,3,default_dimension,Default Dimension,Dynamic Link,reference_document,0,0,0,0,1,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:08.330854
Accounting Dimension Detail,DocType,fields,4,mandatory_for_bs,Mandatory For Balance Sheet,Check,,0,0,0,0,1,0,0,0,0,,,,0,,0,0,,2026-02-13 14:08:08.330854
Accounting Dimension Detail,DocType,fields,5,mandatory_for_pl,Mandatory For Profit and Loss Account,Check,,0,0,0,0,1,0,0,0,0,,,,0,,0,0,,2026-02-13 14:08:08.330854
Accounting Dimension Detail,DocType,fields,6,column_break_lqns,,Column Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:08.330854
Accounting Dimension Detail,DocType,fields,7,automatically_post_balancing_accounting_entry,Automatically post balancing accounting entry,Check,,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,2026-02-13 14:08:08.330854
Accounting Dimension Detail,DocType,fields,8,offsetting_account,Offsetting Account,Link,Account,0,0,0,0,0,0,0,0,0,,eval: doc.automatically_post_balancing_accounting_entry,,,,0,0,,2026-02-13 14:08:08.330854
Accounting Dimension Filter,DocType,fields,1,accounting_dimension,Accounting Dimension,Select,,1,0,0,0,1,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:11.035432
Accounting Dimension Filter,DocType,fields,2,fieldname,Fieldname,Data,,0,0,0,1,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:11.035432
Accounting Dimension Filter,DocType,fields,3,disabled,Disabled,Check,,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,2026-02-13 14:08:11.035432
Accounting Dimension Filter,DocType,fields,4,column_break_2,,Column Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:11.035432
Accounting Dimension Filter,DocType,fields,5,company,Company,Link,Company,1,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:11.035432
Accounting Dimension Filter,DocType,fields,6,apply_restriction_on_values,Apply restriction on dimension values,Check,,0,0,0,0,0,0,0,0,0,,,,1,,0,0,,2026-02-13 14:08:11.035432
Accounting Dimension Filter,DocType,fields,7,allow_or_restrict,Allow Or Restrict Dimension,Select,"Allow
Restrict",1,0,0,0,0,0,0,0,0,eval:doc.apply_restriction_on_values == 1;,,,,,0,0,,2026-02-13 14:08:11.035432
Accounting Dimension Filter,DocType,fields,8,section_break_4,,Section Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:11.035432
Accounting Dimension Filter,DocType,fields,9,accounts,Applicable On Account,Table,Applicable On Account,1,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:11.035432
Accounting Dimension Filter,DocType,fields,10,column_break_6,,Column Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:11.035432
Accounting Dimension Filter,DocType,fields,11,dimensions,Applicable Dimension,Table,Allowed Dimension,0,0,0,0,0,0,0,0,0,eval:doc.accounting_dimension && doc.apply_restriction_on_values,eval:doc.apply_restriction_on_values == 1;,,,,0,0,,2026-02-13 14:08:11.035432
Accounting Dimension Filter,DocType,fields,12,section_break_10,,Section Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:11.035432
Accounting Dimension Filter,DocType,fields,13,dimension_filter_help,Dimension Filter Help,HTML,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:11.035432
Accounting Period,DocType,fields,1,period_name,Period Name,Data,,1,1,0,0,1,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:02.687632
Accounting Period,DocType,fields,2,start_date,Start Date,Date,,1,0,0,0,1,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:02.687632
Accounting Period,DocType,fields,3,end_date,End Date,Date,,1,0,0,0,1,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:02.687632
Accounting Period,DocType,fields,4,column_break_4,,Column Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:02.687632
Accounting Period,DocType,fields,5,company,Company,Link,Company,1,0,0,0,1,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:02.687632
Accounting Period,DocType,fields,6,disabled,Disabled,Check,,0,0,0,0,1,0,0,0,0,,,,0,,0,0,,2026-02-13 14:08:02.687632
Accounting Period,DocType,fields,7,exempted_role,Exempted Role,Link,Role,0,0,0,0,0,0,0,0,0,,,,,Role allowed to bypass period restrictions.,0,0,,2026-02-13 14:08:02.687632
Accounting Period,DocType,fields,8,section_break_7,,Section Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:02.687632
Accounting Period,DocType,fields,9,closed_documents,Closed Documents,Table,Closed Document,1,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:02.687632
Accounts Settings,DocType,fields,1,invoice_and_billing_tab,Invoice and Billing,Tab Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,2,enable_features_section,Invoice Cancellation,Section Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,3,unlink_payment_on_cancellation_of_invoice,Unlink Payment on Cancellation of Invoice,Check,,0,0,0,0,0,0,0,0,0,,,,1,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,4,unlink_advance_payment_on_cancelation_of_order,Unlink Advance Payment on Cancellation of Order,Check,,0,0,0,0,0,0,0,0,0,,,,1,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,5,column_break_13,,Column Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,6,delete_linked_ledger_entries,Delete Accounting and Stock Ledger Entries on deletion of Transaction,Check,,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,7,enable_immutable_ledger,Enable Immutable Ledger,Check,,0,0,0,0,0,0,0,0,0,,,,0,On enabling this cancellation entries will be posted on the actual cancellation date and reports will consider cancelled entries as well,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,8,invoicing_features_section,Invoicing Features,Section Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,9,check_supplier_invoice_uniqueness,Check Supplier Invoice Number Uniqueness,Check,,0,0,0,0,0,0,0,0,0,,,,0,Enabling this ensures each Purchase Invoice has a unique value in Supplier Invoice No. field within a particular fiscal year,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,10,automatically_fetch_payment_terms,Automatically Fetch Payment Terms from Order,Check,,0,0,0,0,0,0,0,0,0,,,,0,Payment Terms from orders will be fetched into the invoices as is,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,11,column_break_17,,Column Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,12,enable_common_party_accounting,Enable Common Party Accounting,Check,,0,0,0,0,0,0,0,0,0,,,,0,"Learn about <a href=""https://docs.frappe.io/erpnext/user/manual/en/common_party_accounting"">Common Party</a>",0,0,,2026-02-13 14:08:09.010085
